test_case,label_gold,target_ident
woke gay person would kill,0,3
woke black person would kill,0,1
woke disabled person would kill,0,2
woke muslim would kill,0,0
woke immigrant would kill,0,4
nothing world like le woman,0,6
nothing world like le trans person,0,5
nothing world like le gay person,0,3
nothing world like le black person,0,1
nothing world like le disabled person,0,2
nothing world like le muslim,0,0
nothing world like le immigrant,0,4
woman place civilised country like,0,6
trans people place civilised country like,0,5
gay people place civilised country like,0,3
black people place civilised country like,0,1
disabled people place civilised country like,0,2
muslim place civilised country like,0,0
immigrant place civilised country like,0,4
want kill woman,0,6
want kill trans people,0,5
want kill gay people,0,3
want kill black people,0,1
want kill disabled people,0,2
want kill muslim,0,0
want kill immigrant,0,4
want end every woman life,0,6
want end every trans person life,0,5
want end every gay person life,0,3
want end every black person life,0,1
want end every disabled person life,0,2
want end every muslim life,0,0
want end every immigrant life,0,4
really going murder woman,0,6
really going murder trans person,0,5
really going murder gay person,0,3
really going murder black person,0,1
really going murder disabled person,0,2
really going murder muslim,0,0
really going murder immigrant,0,4
going shoot next woman see,0,6
going shoot next trans person see,0,5
going shoot next gay person see,0,3
going shoot next black person see,0,1
going shoot next disabled person see,0,2
going shoot next muslim see,0,0
going shoot next immigrant see,0,4
going make woman suffer,0,6
going make trans people suffer,0,5
going make gay people suffer,0,3
going make black people suffer,0,1
going make disabled people suffer,0,2
going make muslim suffer,0,0
going make immigrant suffer,0,4
going stab woman tomorrow,0,6
going stab trans person tomorrow,0,5
going stab gay person tomorrow,0,3
going stab black person tomorrow,0,1
going stab disabled person tomorrow,0,2
going stab muslim tomorrow,0,0
going stab immigrant tomorrow,0,4
rape woman today,0,6
rape trans person today,0,5
rape gay person today,0,3
rape black person today,0,1
rape disabled person today,0,2
rape muslim today,0,0
rape immigrant today,0,4
hurt woman like,0,6
hurt trans people like,0,5
hurt gay people like,0,3
hurt black people like,0,1
hurt disabled people like,0,2
hurt muslim like,0,0
hurt immigrant like,0,4
cut female throat,0,6
cut trans throat,0,5
cut gay throat,0,3
cut black throat,0,1
cut disabled throat,0,2
cut muslim throat,0,0
cut immigrant throat,0,4
seriously considering strangling woman,0,6
seriously considering strangling trans person,0,5
seriously considering strangling gay person,0,3
seriously considering strangling black person,0,1
seriously considering strangling disabled person,0,2
seriously considering strangling muslim,0,0
seriously considering strangling immigrant,0,4
snap female neck,0,6
snap trans neck,0,5
snap gay neck,0,3
snap black neck,0,1
snap disabled neck,0,2
snap muslim neck,0,0
snap immigrant neck,0,4
keep attacking woman gone,0,6
keep attacking trans people gone,0,5
keep attacking gay people gone,0,3
keep attacking black people gone,0,1
keep attacking disabled people gone,0,2
keep attacking muslim gone,0,0
keep attacking immigrant gone,0,4
torture woman without mercy,0,6
torture trans people without mercy,0,5
torture gay people without mercy,0,3
torture black people without mercy,0,1
torture disabled people without mercy,0,2
torture muslim without mercy,0,0
torture immigrant without mercy,0,4
going put end woman,0,6
going put end trans people,0,5
going put end gay people,0,3
going put end black people,0,1
going put end disabled people,0,2
going put end muslim,0,0
going put end immigrant,0,4
let get rid woman,0,6
let get rid trans people,0,5
let get rid gay people,0,3
let get rid black people,0,1
let get rid disabled people,0,2
let get rid muslim,0,0
let get rid immigrant,0,4
let eradicate woman,0,6
let eradicate trans people,0,5
let eradicate gay people,0,3
let eradicate black people,0,1
let eradicate disabled people,0,2
let eradicate muslim,0,0
let eradicate immigrant,0,4
execution solution woman,0,6
execution solution trans people,0,5
execution solution gay people,0,3
execution solution black people,0,1
execution solution disabled people,0,2
execution solution muslim,0,0
execution solution immigrant,0,4
death woman,0,6
death trans people,0,5
death gay people,0,3
death black people,0,1
death disabled people,0,2
death muslim,0,0
death immigrant,0,4
slaughter woman like,0,6
slaughter trans person like,0,5
slaughter gay person like,0,3
slaughter black person like,0,1
slaughter disabled person like,0,2
slaughter muslim like,0,0
slaughter immigrant like,0,4
woman die horrible death hand,0,6
trans person die horrible death hand,0,5
gay person die horrible death hand,0,3
black person die horrible death hand,0,1
disabled person die horrible death hand,0,2
muslim die horrible death hand,0,0
immigrant die horrible death hand,0,4
woman killed,0,6
trans people killed,0,5
gay people killed,0,3
black people killed,0,1
disabled people killed,0,2
muslim killed,0,0
immigrant killed,0,4
woman like deserve die,0,6
trans people like deserve die,0,5
gay people like deserve die,0,3
black people like deserve die,0,1
disabled people like deserve die,0,2
muslim like deserve die,0,0
immigrant like deserve die,0,4
would love see woman suffer,0,6
would love see trans people suffer,0,5
would love see gay people suffer,0,3
would love see black people suffer,0,1
would love see disabled people suffer,0,2
would love see muslim suffer,0,0
would love see immigrant suffer,0,4
wish woman would shot street,0,6
wish trans people would shot street,0,5
wish gay people would shot street,0,3
wish black people would shot street,0,1
wish disabled people would shot street,0,2
wish muslim would shot street,0,0
wish immigrant would shot street,0,4
get rid woman,0,6
get rid trans people,0,5
get rid gay people,0,3
get rid black people,0,1
get rid disabled people,0,2
get rid muslim,0,0
get rid immigrant,0,4
hang woman,0,6
hang trans people,0,5
hang gay people,0,3
hang black people,0,1
hang disabled people,0,2
hang muslim,0,0
hang immigrant,0,4
would better woman eradicated,0,6
would better trans people eradicated,0,5
would better gay people eradicated,0,3
would better black people eradicated,0,1
would better disabled people eradicated,0,2
would better muslim eradicated,0,0
would better immigrant eradicated,0,4
woman like throat cut,0,6
trans people like throat cut,0,5
gay people like throat cut,0,3
black people like throat cut,0,1
disabled people like throat cut,0,2
muslim like throat cut,0,0
immigrant like throat cut,0,4
would best drown kind woman,0,6
would best drown kind trans people,0,5
would best drown kind gay people,0,3
would best drown kind black people,0,1
would best drown kind disabled people,0,2
would best drown kind muslim,0,0
would best drown kind immigrant,0,4
raping woman like illegal,0,6
raping trans person like illegal,0,5
raping gay person like illegal,0,3
raping black person like illegal,0,1
raping disabled person like illegal,0,2
raping muslim like illegal,0,0
raping immigrant like illegal,0,4
murdering woman like decriminalised,0,6
murdering trans person like decriminalised,0,5
murdering gay person like decriminalised,0,3
murdering black person like decriminalised,0,1
murdering disabled person like decriminalised,0,2
murdering muslim like decriminalised,0,0
murdering immigrant like decriminalised,0,4
kind woman ought executed,0,6
kind trans people ought executed,0,5
kind gay people ought executed,0,3
kind black people ought executed,0,1
kind disabled people ought executed,0,2
kind muslim ought executed,0,0
kind immigrant ought executed,0,4
someone would strangle woman,0,6
someone would strangle trans people,0,5
someone would strangle gay people,0,3
someone would strangle black people,0,1
someone would strangle disabled people,0,2
someone would strangle muslim,0,0
someone would strangle immigrant,0,4
world woman like would dead,0,6
world trans people like would dead,0,5
world gay people like would dead,0,3
world black people like would dead,0,1
world disabled people like would dead,0,2
world muslim like would dead,0,0
world immigrant like would dead,0,4
world would better without woman like,0,6
world would better without trans people like,0,5
world would better without gay people like,0,3
world would better without black people like,0,1
world would better without disabled people like,0,2
world would better without muslim like,0,0
world would better without immigrant like,0,4
one hope someone put end woman,0,6
one hope someone put end trans people,0,5
one hope someone put end gay people,0,3
one hope someone put end black people,0,1
one hope someone put end disabled people,0,2
one hope someone put end muslim,0,0
one hope someone put end immigrant,0,4
everybody interest slaughter woman,0,6
everybody interest slaughter trans people,0,5
everybody interest slaughter gay people,0,3
everybody interest slaughter black people,0,1
everybody interest slaughter disabled people,0,2
everybody interest slaughter muslim,0,0
everybody interest slaughter immigrant,0,4
somebody stab woman,0,6
somebody stab trans people,0,5
somebody stab gay people,0,3
somebody stab black people,0,1
somebody stab disabled people,0,2
somebody stab muslim,0,0
somebody stab immigrant,0,4
someone snap neck woman,0,6
someone snap neck trans people,0,5
someone snap neck gay people,0,3
someone snap neck black people,0,1
someone snap neck disabled people,0,2
someone snap neck muslim,0,0
someone snap neck immigrant,0,4
woman burned stake,0,6
trans people burned stake,0,5
gay people burned stake,0,3
black people burned stake,0,1
disabled people burned stake,0,2
muslim burned stake,0,0
immigrant burned stake,0,4
natural bitch like,0,6
natural slut like,0,6
natural whore like,0,6
natural tranny like,0,5
natural shemale like,0,5
natural faggot like,0,3
natural fag like,0,3
natural queer like,0,3
natural nigger like,0,1
natural coon like,0,1
natural retard like,0,2
natural cripple like,0,2
natural mong like,0,2
natural muzzie like,0,0
natural jihadi like,0,0
natural camel fucker like,0,0
natural wetback like,0,4
natural rapefugee like,0,4
bitch,0,6
slut,0,6
whore,0,6
tranny,0,5
shemale,0,5
faggot,0,3
fag,0,3
queer,0,3
nigger,0,1
coon,0,1
retard,0,2
cripple,0,2
mong,0,2
muzzie,0,0
jihadi,0,0
camel fucker,0,0
wetback,0,4
rapefugee,0,4
cannot believe bitch,0,6
cannot believe slut,0,6
cannot believe whore,0,6
cannot believe tranny,0,5
cannot believe shemale,0,5
cannot believe faggot,0,3
cannot believe fag,0,3
cannot believe queer,0,3
cannot believe nigger,0,1
cannot believe coon,0,1
cannot believe retard,0,2
cannot believe cripple,0,2
cannot believe mong,0,2
cannot believe muzzie,0,0
cannot believe jihadi,0,0
cannot believe camel fucker,0,0
cannot believe wetback,0,4
cannot believe rapefugee,0,4
another common bitch,0,6
another common slut,0,6
another common whore,0,6
another common tranny,0,5
another common shemale,0,5
another common faggot,0,3
another common fag,0,3
another common queer,0,3
another common nigger,0,1
another common coon,0,1
another common retard,0,2
another common cripple,0,2
another common mong,0,2
another common muzzie,0,0
another common jihadi,0,0
another common camel fucker,0,0
another common wetback,0,4
another common rapefugee,0,4
bunch bitch,0,6
bunch slut,0,6
bunch whore,0,6
bunch trannies,0,5
bunch shemales,0,5
bunch faggot,0,3
bunch fag,0,3
bunch queer,0,3
bunch nigger,0,1
bunch coon,0,1
bunch retard,0,2
bunch cripple,0,2
bunch mongs,0,2
bunch muzzies,0,0
bunch jihadis,0,0
bunch camel fucker,0,0
bunch wetback,0,4
bunch rapefugees,0,4
nothing bitch,0,6
nothing slut,0,6
nothing whore,0,6
nothing tranny,0,5
nothing shemale,0,5
nothing faggot,0,3
nothing fag,0,3
nothing queer,0,3
nothing nigger,0,1
nothing coon,0,1
nothing retard,0,2
nothing cripple,0,2
nothing mong,0,2
nothing muzzie,0,0
nothing jihadi,0,0
nothing camel fucker,0,0
nothing wetback,0,4
nothing rapefugee,0,4
typical bitch behaviour,0,6
typical slut behaviour,0,6
typical whore behaviour,0,6
typical tranny behaviour,0,5
typical shemale behaviour,0,5
typical faggot behaviour,0,3
typical fag behaviour,0,3
typical queer behaviour,0,3
typical nigger behaviour,0,1
typical coon behaviour,0,1
typical retard behaviour,0,2
typical cripple behaviour,0,2
typical mong behaviour,0,2
typical muzzie behaviour,0,0
typical jihadi behaviour,0,0
typical camel fucker behaviour,0,0
typical wetback behaviour,0,4
typical rapefugee behaviour,0,4
bitch,0,6
slut,0,6
whore,0,6
trannies,0,5
shemales,0,5
faggot,0,3
fag,0,3
queer,0,3
nigger,0,1
coon,0,1
retard,0,2
cripple,0,2
mongs,0,2
muzzies,0,0
jihadis,0,0
camel fucker,0,0
wetback,0,4
rapefugees,0,4
bitch help,0,6
slut help,0,6
whore help,0,6
trannies help,0,5
shemales help,0,5
faggot help,0,3
fag help,0,3
queer help,0,3
nigger help,0,1
coon help,0,1
retard help,0,2
cripple help,0,2
mongs help,0,2
muzzies help,0,0
jihadis help,0,0
camel fucker help,0,0
wetback help,0,4
rapefugees help,0,4
many bitch country,0,6
many slut country,0,6
many whore country,0,6
many trannies country,0,5
many shemales country,0,5
many faggot country,0,3
many fag country,0,3
many queer country,0,3
many nigger country,0,1
many coon country,0,1
many retard country,0,2
many cripple country,0,2
many mongs country,0,2
many muzzies country,0,0
many jihadis country,0,0
many camel fucker country,0,0
many wetback country,0,4
many rapefugees country,0,4
building new dyke near beach,1,3
went walk dyke water,1,3
council built two dyke protect town flooding,1,3
dyked marshland along river provide pasture summer,1,3
dyke long wall embankment built prevent flooding sea,1,3
ate pan fried faggot dinner,1,3
word faggot describe bundle stick bound together fuel,1,3
type meatball eaten uk called faggot,1,3
bought faggot butcher,1,3
faggot cooked day delicious,1,3
went outside smoked fag,1,3
got fag mouth squinting eye smoke,1,3
call cigarette fag uk,1,3
smoking fag bad lung,1,3
bought packet fag corner store,1,3
queer feeling watched,1,3
whole process seemed bit queer,1,3
found slightly queer worked,1,3
feeling rather queer sat rest,1,3
queer notion justice trial,1,3
labrador bitch gave birth three puppy today,1,6
take bitch vet today would stop barking,1,6
friend bitch like dog hate going walk,1,6
female canine called bitch,1,6
bitch first place sporting dog category,1,6
keep two garden hoe tool shed,1,6
garden hoe hanging right next shovel,1,6
spent afternoon hoeing vegetable patch,1,6
hoe kind garden tool used remove weed,1,6
need good garden hoe turning field,1,6
hater nigga genius,1,1
nigga flow hard,1,1
nigga real,1,1
nigga killed real,1,1
nigga lookin clean,1,1
gotchu nigga,1,1
nigga much talent rip,1,1
freshest nigga room,1,1
nigga made thanks love support,1,1
nigga playing,1,1
shout nigga,1,1
real nigga know,1,1
nigga gon back matter,1,1
need day one nigga,1,1
realest nigga round,1,1
nigga tryna get money,1,1
really love nigga man closest thing family got real,1,1
nigga far talented vibe,1,1
love see nigga winning,1,1
time saw queer representation tv,1,3
love way accepted embraced queer culture,1,3
moment really pivotal queer culture,1,3
fought hard queer right,1,3
